,no_suivi,no_rapport,type_rapport,date_envoi,crc,titre,note,type_etablissement,lat,long,ville,departement
10,2013-03,jf00131905.html,Rapport d'observations définitives,11/01/2013,CRC Bretagne,Centre communal d'action sociale - Centre communal d'action sociale de Lanester - Lanester (Morbihan),0,Centre communal d'action sociale,47.769192427700006,-3.3264831796200003,Lanester,Morbihan
11,13 -  119   ,jf00131922.html,Rapport d'observations définitives,05/02/2013,CRC Alsace,Communauté urbaine - Communaute Urbaine de Strasbourg (CUS) - Strasbourg (Bas-Rhin),-450,Communauté urbaine,48.5712679849,7.767526795169999,Strasbourg,Bas-Rhin
12,,jf00131945.html,Rapport d'observations définitives,22/01/2013,CRC Centre Limousin,Commune - Bourges - Bourges (Cher),-286,Commune,47.0749572013,2.4041713755700003,Bourges,Cher
13,13-CC-07,jf00131996.html,Rapport d'observations définitives,24/01/2013,CRC Bourgogne Franche-Comté,"Etablissement public local d'enseignement - Lycée polyvalent ""Le Castel"" - Dijon (Côte-d'Or)",-96,Etablissement public local d'enseignement,47.3229437965,5.03788805877,Dijon,Côte-d'Or
14,12-0312 R,jf00132002.html,Rapport d'observations définitives,11/01/2013,CRC Ile-de-France,"Office public de l'habitat - Office public d'HLM interdepartemental de l'Essonne, du Val-d'Oise et des Yvelines (OPIEVOY) - Versailles (Yvelines)",-143,Office public de l'habitat,48.8025669671,2.11789297191,Versailles,Yvelines
15,2013-02,jf00132182.html,Rapport d'observations définitives,04/01/2013,CRC Bretagne,Société d'économie mixte - SEM Lorient-Keroman - Lorient (Morbihan),-122,Société d'économie mixte,47.75004869470001,-3.37823200917,Lorient,Morbihan
16,2013-05,jf00132183.html,Rapport d'observations définitives,30/01/2013,CRC Bretagne,Commune - Quiberon - Quiberon (Morbihan),-66,Commune,47.488165751800004,-3.12282400639,Quiberon,Morbihan
17,,jf00132190.html,Rapport d'observations définitives,25/02/2013,CRC Aquitaine Poitou-Charentes,Etablissement hospitalier public - Centre hospitalier du Nord Deux-Sevres - Parthenay (Deux-Sèvres),-240,Etablissement hospitalier public,46.6453493842,-0.233028439198,Parthenay,Deux-Sèvres
18,13-ROD2-PJ-04,jf00132214.html,Rapport d'observations définitives,18/01/2013,CRC Bourgogne Franche-Comté,Département - Conseil général de la Nièvre - Nevers (Nièvre),-146,Département,46.9881194908,3.15689130958,Nevers,Nièvre
19,2013-203,jf00132218.html,Rapport d'observations définitives,31/01/2013,CRC Pays de la Loire,Commune - Saint-Gilles-Croix-de-Vie -  (Vendée),9,Commune,46.69777699999999,-1.944529,Saint-Gilles-Croix-de-Vie,Vendée
20,,jf00132230.html,Rapport d'observations définitives,25/01/2013,CRC Aquitaine Poitou-Charentes,Groupement d'intérêt public - Maison Landaise des Personnes Handicapées (MDPH) - Mont-de-Marsan (Landes),-219,Groupement d'intérêt public,43.899361404,-0.490722577455,Mont-de-Marsan,Landes
21,2013-04,jf00132412.html,Rapport d'observations définitives,28/01/2013,CRC Bretagne,Commune - Séné - Séné (Morbihan),-9,Commune,47.6228786892,-2.72442609453,Séné,Morbihan
22,5,jf00132436.html,Rapport d'observations définitives,23/01/2013,CRC Centre Limousin,Commune - Selles-Saint-Denis - Selles-Saint-Denis (Loir-et-Cher),28,Commune,47.3757781053,1.90655896666,Selles-Saint-Denis,Loir-et-Cher
23,6,jf00132440.html,Rapport d'observations définitives,07/01/2013,CRC Centre Limousin,Département - Conseil général de la Haute-Vienne - Limoges (Haute-Vienne),-74,Département,45.8542549589,1.2487579024,Limoges,Haute-Vienne
24,2006-2012,jf00132444.html,Rapport d'observations définitives,10/01/2013,CRC Basse-Normandie Haute-Normandie,Syndicat mixte - Parc naturel régional des Boucles de la Seine Normande(PNR-BSN) - Notre-dame-de-Bliquetuit (Seine-Maritime),-91,Syndicat mixte,49.4959539726,0.753080811666,Notre-dame-de-Bliquetuit,Seine-Maritime
25,2013-01,jf00132493.html,Rapport d'observations définitives,02/01/2013,CRC Bretagne,Communauté de communes - Communaute de communes du haut pays bigouden - Pouldreuzic (Finistère),59,Communauté de communes,47.96127175149999,-4.3641326508199985,Pouldreuzic,Finistère
26,203-72,jf00132547.html,Rapport d'observations définitives,06/02/2013,CRC Guadeloupe-Guyane-Martinique,Commune - Commune de Capesterre-Belle-Eau - Capesterre-Belle-Eau (Guadeloupe),-21,Commune,16.038700400000003,-61.5778481,Capesterre-Belle-Eau,Guadeloupe
27,2013-02,jf00132601.html,Rapport d'observations définitives,01/03/2013,CRC Auvergne Rhône-Alpes,Commune - Saint-Gervais-les-Bains - Saint-Gervais-les-Bains (Haute-Savoie),29,Commune,45.8571864862,6.74016257718,Saint-Gervais-les-Bains,Haute-Savoie
28,LRR201301,jf00132697.html,Rapport d'observations définitives,06/02/2013,CRC Languedoc-Roussillon,Département - Conseil général de l'Aude - Carcassonne (Aude),-131,Département,43.2093798444,2.34398855385,Carcassonne,Aude
29,2005-2012,jf00132734.html,Rapport d'observations définitives,24/01/2013,CRC Basse-Normandie Haute-Normandie,Syndicat intercommunal - Syndicat intercommunal d'équipement d'Harfleur et de Gonfreville-L'Orcher (SIEHGO) - Gonfreville-L'Orcher (Seine-Maritime),-14,Syndicat intercommunal,49.4860837457,0.221985693724,Gonfreville-L'Orcher,Seine-Maritime
30,2006-2011,jf00132753.html,Rapport d'observations définitives,01/02/2013,CRC Basse-Normandie Haute-Normandie,Université - Université de Rouen - Rouen (Seine-Maritime),-29,Université,49.441346010299995,1.09256784278,Rouen,Seine-Maritime
31,,jf00132834.html,Rapport d'observations définitives,15/03/2013,CRC Aquitaine Poitou-Charentes,Commune - Saintes -  (Charente-Maritime),72,Commune,45.744175,-0.633389,Saintes,Charente-Maritime
32,,jf00132960.html,Rapport d'observations définitives,05/02/2013,CRC Alsace,Commune - Ville de Strasbourg - Strasbourg (Bas-Rhin),-375,Commune,48.5712679849,7.767526795169999,Strasbourg,Bas-Rhin
33,,jf00132963.html,Rapport d'observations définitives,27/02/2013,CRC Aquitaine Poitou-Charentes,Commune - Bruges -  (Gironde),-92,Commune,44.88179299999999,-0.6127469999999999,Bruges,Gironde
34,2013-07,jf00133016.html,Rapport d'observations définitives,11/03/2013,CRC Bretagne,Communauté de communes - communaute de communes du Pays de Douarnenez - Douarnenez (Finistère),-172,Communauté de communes,48.080652655600005,-4.32784220122,Douarnenez,Finistère
35,2013-08,jf00133054.html,Rapport d'observations définitives,11/03/2013,CRC Bretagne,Commune - Pleneuf-Val-Andre - Pléneuf-Val-André (Côtes-d'Armor),269,Commune,48.5840054611,-2.53016887694,Pléneuf-Val-André,Côtes-d'Armor
36,2013-204,jf00133068.html,Rapport d'observations définitives,28/02/2013,CRC Pays de la Loire,Communauté de communes - Communauté de communes du Sud Estuaire - Paimboeuf (Loire-Atlantique),-54,Communauté de communes,47.2863992883,-2.02807425552,Paimboeuf,Loire-Atlantique
37,2013-06,jf00133164.html,Rapport d'observations définitives,26/02/2013,CRC Bretagne,Commune - La Nouaye - La Nouaye (Ille-et-Vilaine),65,Commune,48.16621740340001,-1.97457609624,La Nouaye,Ille-et-Vilaine
38,564,jf00133195.html,Rapport d'observations définitives,07/03/2013,CRC Provence-Alpes-Côte d'Azur,"Commune - Roquebrune-Cap-Martin
 - Roquebrune-Cap-Martin (Alpes-Maritimes)",16,Commune,43.7638278953,7.4587361611,Roquebrune-Cap-Martin,Alpes-Maritimes
39,2013-03,jf00133220.html,Rapport d'observations définitives,28/03/2013,CRC Auvergne Rhône-Alpes,Communauté d'agglomération - Communauté d'agglomération du Bassin aurillacois (CABA) - Aurillac (Cantal),-32,Communauté d'agglomération,44.9245233686,2.44162453828,Aurillac,Cantal
40,LRR201302,jf00133233.html,Rapport d'observations définitives,13/02/2013,CRC Languedoc-Roussillon,Etablissement hospitalier public - Centre hospitalier de Perpignan - Perpignan (Pyrénées-Orientales),-544,Etablissement hospitalier public,42.6965954131,2.8993695397900003,Perpignan,Pyrénées-Orientales
41,2013-11,jf00133278.html,Rapport d'observations définitives,13/03/2013,CRC Bretagne,Commune - Plouguerneau - Plouguerneau (Finistère),77,Commune,48.6030672193,-4.48961925754,Plouguerneau,Finistère
42,13-ROD2-MLC-08,jf00133280.html,Rapport d'observations définitives,28/01/2013,CRC Bourgogne Franche-Comté,Etablissement hospitalier public - Centre hospitalier Robert Morlevat - Semur-en-Auxois (Côte-d'Or),41,Etablissement hospitalier public,47.4909559267,4.3410636676099985,Semur-en-Auxois,Côte-d'Or
43,2013-205,jf00133302.html,Rapport d'observations définitives,11/03/2013,CRC Pays de la Loire,Office public de l'habitat - Mayenne Habitat - Laval (Mayenne),42,Office public de l'habitat,48.060856546800004,-0.766005687142,Laval,Mayenne
44,CALR201213,jf00133378.html,Rapport d'observations définitives,11/02/2013,CRC Champagne-Ardenne Lorraine,Crédit municipal - Caisse de Crédit municipal de Nancy - Nancy (Meurthe-et-Moselle),-283,Crédit municipal,48.6901995499,6.17588254434,Nancy,Meurthe-et-Moselle
45,CALR201211,jf00133380.html,Rapport d'observations définitives,21/01/2013,CRC Champagne-Ardenne Lorraine,Société d'économie mixte - Société d'économie mixte SOLOREM - Nancy (Meurthe-et-Moselle),-12,Société d'économie mixte,48.6901995499,6.17588254434,Nancy,Meurthe-et-Moselle
46,NPr201306,jf00133403.html,Rapport d'observations définitives,28/02/2013,CRC Nord-Pas-de-Calais Picardie,Communauté de communes - Communauté de communes du Pays Noyonnais - Noyon (Oise),-170,Communauté de communes,49.577434331800006,3.00799806171,Noyon,Oise
47,2013-09,jf00133406.html,Rapport d'observations définitives,11/03/2013,CRC Bretagne,Commune - Montreuil-sur-Ille - Montreuil-sur-Ille (Ille-et-Vilaine),-32,Commune,48.3053148028,-1.6686934187,Montreuil-sur-Ille,Ille-et-Vilaine
48,7,jf00133418.html,Rapport d'observations définitives,26/02/2013,CRC Centre Limousin,Etablissement hospitalier public - Hôpital intercommunal du Haut-Limousin - Bellac (Haute-Vienne),-135,Etablissement hospitalier public,46.1049122554,1.04116467219,Bellac,Haute-Vienne
49,2013-12,jf00133425.html,Rapport d'observations définitives,15/03/2013,CRC Bretagne,Communauté de communes - communaute de communes du Cap Sizun - Audierne (Finistère),-69,Communauté de communes,48.024107757399996,-4.54448750165,Audierne,Finistère
50,CALR201308,jf00133485.html,Rapport d'observations définitives,30/01/2013,CRC Champagne-Ardenne Lorraine,Etablissement hospitalier public - Hôpital de l'Avison  - Bruyères (Vosges),-186,Etablissement hospitalier public,48.2129348466,6.71603066311,Bruyères,Vosges
51,,jf00133507.html,Rapport d'observations définitives,18/04/2013,CRC Aquitaine Poitou-Charentes,Commune - Agen -  (Lot-et-Garonne),25,Commune,44.203142,0.616363,Agen,Lot-et-Garonne
52,2013-009,jf00133508.html,Rapport d'observations définitives,26/12/2013,CRC Midi-Pyrénées,Syndicat mixte - Syndicat mixte départemental pour l'élimination des déchets ménagers et assimilés du Lot (SYDED) - Catus (Lot),45,Syndicat mixte,44.5584146549,1.34151024683,Catus,Lot
53,2013-05,jf00133515.html,Rapport d'observations définitives,26/02/2013,CRC Auvergne Rhône-Alpes,Commune - Valence - Valence (Drôme),-310,Commune,44.9229811667,4.91444013136,Valence,Drôme
54,2013-196,jf00133516.html,Rapport d'observations définitives,25/02/2013,CRC Guadeloupe-Guyane-Martinique,Commune - Commune de Rémire-Montjoly - Rémire-Montjoly (Guyane),-87,Commune,4.912014,-52.275169,Rémire-Montjoly,Guyane
55,2012-0298R,jf00133529.html,Rapport d'observations définitives,21/01/2013,CRC Ile-de-France,Société d'économie mixte - Société d'aménagement et de développement des villes du Val-de-Marne (SADEV 94) - Vincennes (Val-de-Marne),-145,Société d'économie mixte,48.847373204499995,2.43798650741,Vincennes,Val-de-Marne
56,LRR201303,jf00133545.html,Rapport d'observations définitives,17/04/2013,CRC Languedoc-Roussillon,Région - Region Languedoc-Roussillon - Montpellier (Hérault),-314,Région,43.6134409138,3.86851657896,Montpellier,Hérault
57,2013-10,jf00133552.html,Rapport d'observations définitives,13/03/2013,CRC Bretagne,Communauté de communes - communaute de communes de la Cote de Penthievre - Saint-Alban (Côtes-d'Armor),36,Communauté de communes,48.5551884911,-2.50893906207,Saint-Alban,Côtes-d'Armor
58,2013-012,jf00133604.html,Rapport d'observations définitives,12/02/2013,CRC Midi-Pyrénées,Etablissement hospitalier public - Centre hospitalier de Condom - Condom (Gers),-291,Etablissement hospitalier public,43.9716968333,0.374186827134,Condom,Gers
59,NPR201307,jf00133625.html,Rapport d'observations définitives,15/01/2013,CRC Nord-Pas-de-Calais Picardie,Centre communal d'action sociale - Centre communal d'action sociale de Wattrelos - Wattrelos (Nord),-304,Centre communal d'action sociale,50.705636728500004,3.21628221056,Wattrelos,Nord
60,2006-2012,jf00133631.html,Rapport d'observations définitives,28/01/2013,CRC Basse-Normandie Haute-Normandie,Université - Universite du Havre - Le Havre (Seine-Maritime),-82,Université,49.498452502,0.140153719153,Le Havre,Seine-Maritime
61,2013-06,jf00133648.html,Rapport d'observations définitives,01/03/2013,CRC Auvergne Rhône-Alpes,Etablissement hospitalier public - Centre hospitalier de Grenoble - Grenoble (Isère),-515,Etablissement hospitalier public,45.1821215167,5.721330517519998,Grenoble,Isère
62,,jf00133715.html,Rapport d'observations définitives,26/04/2013,CRC Aquitaine Poitou-Charentes,Association - L'Arche de Noé - Bayonne (Pyrénées-Atlantiques),-18,Association,43.492225401599995,-1.4660767435799995,Bayonne,Pyrénées-Atlantiques
63,,jf00133716.html,Rapport d'observations définitives,02/05/2013,CRC Aquitaine Poitou-Charentes,Département - Département des Landes - Mont-de-Marsan (Landes),-50,Département,43.899361404,-0.490722577455,Mont-de-Marsan,Landes
64,,jf00133718.html,Rapport d'observations définitives,06/05/2013,CRC Aquitaine Poitou-Charentes,Commune - Lagord -  (Charente-Maritime),-29,Commune,46.190717,-1.1540028999999998,Lagord,Charente-Maritime
65,2013-15,jf00133800.html,Rapport d'observations définitives,24/04/2013,CRC Bretagne,Commune - Commune de Vern-sur-Seiche - Vern-sur-Seiche (Ille-et-Vilaine),-114,Commune,48.0525245014,-1.60521106164,Vern-sur-Seiche,Ille-et-Vilaine
66,13-ROD2-FB-05,jf00133915.html,Rapport d'observations définitives,23/01/2013,CRC Bourgogne Franche-Comté,"Association - Association ""Yonne Active Création"" - Auxerre (Yonne)",23,Association,47.793488225,3.58168281761,Auxerre,Yonne
67,2012-207,jf00133927.html,Rapport d'observations définitives,26/04/2013,CRC Pays de la Loire,Commune - La Turballe -  (Loire-Atlantique),11,Commune,47.348472,-2.511759,La Turballe,Loire-Atlantique
68,2013-  422 ,jf00133981.html,Rapport d'observations définitives,22/04/2013,CRC Alsace,Etablissement hospitalier public - Etablissement public de santé Alsace Nord - Brumath (Bas-Rhin),-33,Etablissement hospitalier public,48.7204656106,7.71740193625,Brumath,Bas-Rhin
69,9,jf00133989.html,Rapport d'observations définitives,29/04/2013,CRC Centre Limousin,Communauté d'agglomération - communauté d'agglomération de Blois AGGLOPOLYS - Blois (Loir-et-Cher),-14,Communauté d'agglomération,47.5817013938,1.30625551583,Blois,Loir-et-Cher
70,11,jf00134000.html,Rapport d'observations définitives,25/03/2013,CRC Centre Limousin,Conseil d'architecture d'urbanisme et d'environnement - Conseil d'architecture et d'environnement (CAUE) du Cher - Bourges (Cher),-61,Conseil d'architecture d'urbanisme et d'environnement,47.0749572013,2.4041713755700003,Bourges,Cher
71,,jf00134009.html,Rapport d'observations définitives,21/05/2013,CRC Aquitaine Poitou-Charentes,Groupement d'intérêt public - Maison Départementale des Personnes Handicapées (MDPH) des Pyrénées-Atlantiques - Pau (Pyrénées-Atlantiques),-322,Groupement d'intérêt public,43.320018977299995,-0.350337918181,Pau,Pyrénées-Atlantiques
72,12,jf00134036.html,Rapport d'observations définitives,22/04/2013,CRC Centre Limousin,Office public de l'habitat - OPH Chartres Habitat - Chartres (Eure-et-Loir),-77,Office public de l'habitat,48.4471464884,1.50570610616,Chartres,Eure-et-Loir
73,2013-14,jf00134039.html,Rapport d'observations définitives,08/04/2013,CRC Bretagne,Commune - Bénodet - Bénodet (Finistère),115,Commune,47.8780985371,-4.07751294821,Bénodet,Finistère
74,13-ROD2-AV-14,jf00134178.html,Rapport d'observations définitives,02/05/2013,CRC Bourgogne Franche-Comté,Département - Conseil général de l'Yonne - Auxerre (Yonne),-33,Département,47.793488225,3.58168281761,Auxerre,Yonne
75,2013-015,jf00134179.html,Rapport d'observations définitives,22/04/2013,CRC Midi-Pyrénées,Commune - L'Union - L'Union (Haute-Garonne),18,Commune,43.654247042799994,1.48394847329,L'Union,Haute-Garonne
76,2013-18,jf00134246.html,Rapport d'observations définitives,17/05/2013,CRC Bretagne,Association - Association Palais du Grand Large - Saint-Malo (Ille-et-Vilaine),-66,Association,48.6400443482,-1.98060627256,Saint-Malo,Ille-et-Vilaine
77,2006-2011,jf00134287.html,Rapport d'observations définitives,06/02/2013,CRC Basse-Normandie Haute-Normandie,Région - Basse-Normandie (Aides à  la création d'entreprises) - Caen (Calvados),192,Région,49.1847936737,-0.369801713036,Caen,Calvados
78,13-ROD2-PM-12,jf00134292.html,Rapport d'observations définitives,12/04/2013,CRC Bourgogne Franche-Comté,Etablissement hospitalier public - Centre hospitalier intercommunal de la Haute-Saône - Vesoul (Haute-Saône),-397,Etablissement hospitalier public,47.6320408648,6.1548458149,Vesoul,Haute-Saône
79,2013-08,jf00134297.html,Rapport d'observations définitives,17/05/2013,CRC Auvergne Rhône-Alpes,Communauté de communes - Communaute de communes de la Plaine de l'Ain - Chazey-sur-Ain (Ain),-151,Communauté de communes,45.8929448968,5.25528498524,Chazey-sur-Ain,Ain
80,13- 369 ,jf00134367.html,Rapport d'observations définitives,10/04/2013,CRC Alsace,"Société d'économie mixte - Foyer moderne de Schiltigheim
 - Schiltigheim (Bas-Rhin)",-324,Société d'économie mixte,48.6118660258,7.74408199334,Schiltigheim,Bas-Rhin
81,2013-09,jf00134392.html,Rapport d'observations définitives,15/04/2013,CRC Auvergne Rhône-Alpes,Commune - Aurillac - Aurillac (Cantal),-37,Commune,44.9245233686,2.44162453828,Aurillac,Cantal
82,2013-11,jf00134396.html,Rapport d'observations définitives,31/05/2013,CRC Auvergne Rhône-Alpes,Syndicat mixte - Syndicat mixte de la Plaine de l'Ain (SYMPA) - Saint-Vulbas (Ain),-74,Syndicat mixte,45.822231510200005,5.27019602929,Saint-Vulbas,Ain
83,2013-210,jf00134459.html,Rapport d'observations définitives,16/05/2013,CRC Pays de la Loire,Office public de l'habitat - Sèvre Loire Habitat - Cholet (Maine-et-Loire),34,Office public de l'habitat,47.0454402992,-0.877886189605,Cholet,Maine-et-Loire
84,2007-2012,jf00134529.html,Rapport d'observations définitives,14/06/2013,CRC Basse-Normandie Haute-Normandie,Communauté de communes - Communaute de communes de Lisieux-Pays d'Auge - Lisieux (Calvados),-62,Communauté de communes,49.1466628463,0.238274840452,Lisieux,Calvados
85,2006-2012,jf00134532.html,Rapport d'observations définitives,02/05/2013,CRC Basse-Normandie Haute-Normandie,Communauté de communes - Communaute de communes des Pieux - Les Pieux (Manche),66,Communauté de communes,49.5103059572,-1.82036292827,Les Pieux,Manche
86,2010-2012,jf00134545.html,Rapport d'observations définitives,17/04/2013,CRC Basse-Normandie Haute-Normandie,Etablissement hospitalier public - Centre hospitalier universitaire (CHU) de Caen - Caen (Calvados),-407,Etablissement hospitalier public,49.1847936737,-0.369801713036,Caen,Calvados
87,,jf00134553.html,Rapport d'observations définitives,13/06/2013,CRC Aquitaine Poitou-Charentes,Commune - Cestas -  (Gironde),-115,Commune,44.741163,-0.6843549999999999,Cestas,Gironde
88,13,jf00134583.html,Rapport d'observations définitives,15/04/2013,CRC Centre Limousin,Communauté de communes - Communauté de communes de la Forêt - Neuville-aux-Bois (Loiret),-26,Communauté de communes,48.0689002609,2.0592389448,Neuville-aux-Bois,Loiret
89,D131084,jf00134597.html,Rapport d'observations définitives,17/05/2013,CRC Auvergne Rhône-Alpes,Communauté de communes - Communauté de communes du canton de Rumilly (C3R) - Rumilly (Haute-Savoie),-221,Communauté de communes,45.8555126651,5.940752874319999,Rumilly,Haute-Savoie
90,D131300,jf00134599.html,Rapport d'observations définitives,03/06/2013,CRC Auvergne Rhône-Alpes,Centre communal d'action sociale - Centre communal d'action sociale de Rumilly - Rumilly (Haute-Savoie),-288,Centre communal d'action sociale,45.8555126651,5.940752874319999,Rumilly,Haute-Savoie
91,14,jf00134601.html,Rapport d'observations définitives,30/04/2013,CRC Centre Limousin,Commune - Commune de Vendôme - Vendôme (Loir-et-Cher),115,Commune,47.8013026692,1.06106057175,Vendôme,Loir-et-Cher
92,nÂ° 2013-01,jf00134602.html,Rapport d'observations définitives,02/01/2013,CRC Bretagne,Communauté de communes - Communaute de communes du haut pays bigouden - Pouldreuzic (Finistère),27,Communauté de communes,47.96127175149999,-4.3641326508199985,Pouldreuzic,Finistère
93,2013-13,jf00134639.html,Rapport d'observations définitives,28/03/2013,CRC Bretagne,"Office public de l'habitat - Office public de l'habitat ""Dinan Codi Habitat"" - Quévert (Côtes-d'Armor)",-20,Office public de l'habitat,48.463126898999995,-2.08562877928,Quévert,Côtes-d'Armor
94,,jf00134665.html,Rapport d'observations définitives,26/06/2013,CRC Aquitaine Poitou-Charentes,Commune - Saint-Seurin-sur-l'Isle -  (Gironde),5,Commune,45.014104,-0.001502,Saint-Seurin-sur-l'Isle,Gironde
95,2013-212,jf00134668.html,Rapport d'observations définitives,27/05/2013,CRC Pays de la Loire,Société d'économie mixte - La Folle Journée - Nantes (Loire-Atlantique),-133,Société d'économie mixte,47.2316356767,-1.54831008605,Nantes,Loire-Atlantique
96,,jf00134670.html,Rapport d'observations définitives,27/06/2013,CRC Aquitaine Poitou-Charentes,Région - Région Aquitaine - Bordeaux (Gironde),28,Région,44.8572445351,-0.57369678116,Bordeaux,Gironde
97,,jf00134706.html,Rapport d'observations définitives,27/06/2013,CRC Aquitaine Poitou-Charentes,Commune - Bon-Encontre -  (Lot-et-Garonne),10,Commune,44.186116,0.668438,Bon-Encontre,Lot-et-Garonne
98,2008-2013,jf00134709.html,Rapport d'observations définitives,24/06/2013,CRC Basse-Normandie Haute-Normandie,Etablissement hospitalier public - Centre hospitalier universitaire de Rouen - Rouen (Seine-Maritime),-158,Etablissement hospitalier public,49.441346010299995,1.09256784278,Rouen,Seine-Maritime
99,2013-16,jf00134722.html,Rapport d'observations définitives,02/05/2013,CRC Bretagne,Communauté de communes - Communaute de communes de la Baie du Kernic - Cléder (Finistère),-30,Communauté de communes,48.6605439147,-4.12447333857,Cléder,Finistère
100,13 - 613,jf00134736.html,Rapport d'observations définitives,07/06/2013,CRC Alsace,Communauté de communes - Communauté de communes de Guebwiller - Guebwiller (Haut-Rhin),0,Communauté de communes,47.909669220699996,7.210135000069998,Guebwiller,Haut-Rhin
101,2013-22,jf00134737.html,Rapport d'observations définitives,31/05/2013,CRC Bretagne,Commune - Saint-Malo - Saint-Malo (Ille-et-Vilaine),-17,Commune,48.6400443482,-1.98060627256,Saint-Malo,Ille-et-Vilaine
102,2013- 686,jf00134739.html,Rapport d'observations définitives,18/06/2013,CRC Alsace,Syndicat intercommunal - syndicat des eaux et de l'assainissement du Bas-Rhin  - Strasbourg (Bas-Rhin),276,Syndicat intercommunal,48.5712679849,7.767526795169999,Strasbourg,Bas-Rhin
103,D131151,jf00134741.html,Rapport d'observations définitives,27/05/2013,CRC Auvergne Rhône-Alpes,Syndicat mixte - Syndicat mixte de l'Ardèche Méridionale - Lablachère (Ardèche),-32,Syndicat mixte,44.4602290219,4.21397084394,Lablachère,Ardèche
104,D131157,jf00134742.html,Rapport d'observations définitives,27/05/2013,CRC Auvergne Rhône-Alpes,Commune - Nyons - Nyons (Drôme),-216,Commune,44.3564879814,5.12880832,Nyons,Drôme
105,13- 510 ,jf00134751.html,Rapport d'observations définitives,17/05/2013,CRC Alsace,Région - Conseil regional d'Alsace - Strasbourg (Bas-Rhin),-28,Région,48.5712679849,7.767526795169999,Strasbourg,Bas-Rhin
106,2007-2013,jf00134752.html,Rapport d'observations définitives,05/06/2013,CRC Basse-Normandie Haute-Normandie,Institution sociale ou médico-sociale - Etablissement public départemental de Grugny - Grugny (Seine-Maritime),-55,Institution sociale ou médico-sociale,49.6181524638,1.10616826798,Grugny,Seine-Maritime
107,2006-2013,jf00134756.html,Rapport d'observations définitives,06/02/2013,CRC Basse-Normandie Haute-Normandie,Etablissement public local - Mission régionale pour l'innovation et l'action de développement économique(MIRIADE) - Caen (Calvados),162,Etablissement public local,49.1847936737,-0.369801713036,Caen,Calvados
108,,jf00134763.html,Rapport d'observations définitives,01/07/2013,CRC Aquitaine Poitou-Charentes,Association - Lous Petits Esberits - Villeneuve-de-Marsan (Landes),-87,Association,43.9059002211,-0.304063529784,Villeneuve-de-Marsan,Landes
109,,jf00134767.html,Rapport d'observations définitives,01/07/2013,CRC Aquitaine Poitou-Charentes,Société d'économie mixte - SEMITOUR PERIGORD - Périgueux (Dordogne),-315,Société d'économie mixte,45.191870487299994,0.711825549847,Périgueux,Dordogne
